,Load[MWh]
328,212.830543484436
329,214.82371454739354
330,216.8341210920929
331,218.78874227896011
332,220.60742152732098
333,222.334404852434
334,224.29344041341747
335,226.59860546467561
336,229.15807977799983
337,231.63277745424986
338,233.06697818883006
339,233.0076431775669
340,230.79151318005717
341,226.7718202395432
342,221.2506150326707
343,214.71513825483711
344,207.6415858882328
345,200.543486241672
346,193.79304823202807
347,187.95143920588265
348,183.3481990919722
349,179.8687745878268
350,177.32067709445883
351,175.54843291628418
352,175.9005879427476
353,176.31539320557306
354,179.36764791080836
355,186.08291967004558
356,196.93892262161168
357,210.30206360652764
358,223.79332357408643
359,234.98605109533278
360,242.30671914269467
361,246.2679402531933
362,248.31431079471793
363,249.60781544054294
364,251.08611991845024
365,251.4581193373199
366,249.31404958297546
367,242.93702418127987
368,231.5111255898912
369,216.8416359169153
370,201.31178113277207
371,187.52662852593267
372,177.28853982894452
373,170.19259024268155
374,165.4743788446557
375,162.22352812071264
376,159.55748608911887
377,156.96437495351782
378,153.88282993538107
379,149.95850743284618
380,144.77906987580909
381,138.5236456074223
382,131.79450960716298
383,125.03580704763633
384,118.57773953346717
385,112.31425478261389
386,106.41199839743292
387,100.84880463066834
388,95.54644054980838
389,90.70730228987432
390,86.2705251631393
391,82.42988735134003
392,79.27720765865266
393,76.65176387375968
394,74.50882106897133
395,72.97223917874655
396,71.77839802778493
397,70.8481382814954
398,70.04977561939924
399,69.23053059280004
400,68.19311177711882
401,67.31544630179599
402,66.90891473997162
403,67.16276513950577
404,68.42152018288226
405,70.18979889669033
406,72.11405873701169
407,73.69278289055757
408,74.69678940166445
409,75.23073679561777
410,75.74479578134738
411,76.57099654059762
412,78.29024872202775
413,81.17469335918621
414,85.9243001782471
415,93.08047730871407
416,102.80199736298303
417,114.64126257170707
418,127.55590290697779
419,140.58578017619212
420,151.59741014803083
421,163.2464440783068
422,173.95016895466006
423,183.4829647393725
424,191.89136193598745
425,199.4826604128137
426,206.579704467461
427,213.7555517101559
428,221.09109747583128
429,228.07943403447786
430,233.88783233290985
431,237.83261366496626
432,239.18336317657568
433,237.96536550500238
434,234.1866061420462
435,227.91781501610106
436,219.49034122042067
437,209.44621123493894
438,198.71350327789375
439,188.21306865658133
440,178.53042075805521
441,169.9249088785096
442,162.5183947985177
443,156.36667097851216
444,153.04300349280524
445,149.08774500117485
446,145.8458302845221
447,142.65291405184135
448,139.57221884722082
449,137.29775757492666
450,136.85312902846158
451,139.4853920362507
452,145.65954564039
453,154.51174761566986
454,164.55833889949076
455,174.46008332311277
456,183.0413139164428
457,190.49851126781715
458,197.36759825725645
459,203.99609113024724
460,210.60872065525098
461,216.12715400361927
462,219.10003428859176
463,217.8597367670428
464,211.79595446340193
465,202.3275934647206
466,191.80133587530386
467,182.20783760010545
468,175.33775351514382
469,170.50778226871904
470,166.5733456115065
471,162.37157412714674
472,157.0868580300791
473,150.6280375757977
474,143.3306039847759
475,135.40348074820037
476,127.22508344208396
477,119.10052539847148
478,111.29120690131953
479,104.04262202814122
480,102.42029851676399
481,95.36896147019728
482,89.29798245380898
483,84.37927926981166
484,80.92996417049575
485,78.6521422515217
486,77.1670687370447
487,75.91338967712599
488,74.58503992476263
489,73.19292432749818
490,72.05739571867903
491,71.10950345004149
492,70.56978183053899
493,70.49306315813408
494,70.47701339868739
495,70.69182719518969
496,70.87048961869826
497,71.34169343386627
498,72.1710378377178
499,73.61310853280013
500,75.74274495278075
501,79.43768924938874
502,85.39461867509715
503,94.36734003284835
504,106.80009154068641
505,121.32666944173683
506,136.2697308387221
507,149.8509711362223
508,161.8855510476859
509,172.0926823303522
510,180.98334003120235
